July 2026,,,,,,
,,,,,,
Amount,Category,Mood/Context,Time of Day,Day of Week,Week Number,Date
40,Transportation,Necessary,Morning,Sunday,29,7/12/2026 9:43:55
67.48,Eating Out,Impulse,Morning,Sunday,29,7/12/2026 9:44:07
4.88,Eating Out,Necessary,Morning,Sunday,29,7/12/2026 9:44:59
2.79,Cooking/Groceries,Impulse,Afternoon,Monday,29,7/13/2026 13:09:33
11.45,Eating Out,Necessary,Afternoon,Monday,29,7/13/2026 13:09:46
6.18,Eating Out,Necessary,Afternoon,Monday,29,7/13/2026 13:10:20
24.93,Cooking/Groceries,Necessary,Evening,Wednesday,29,7/15/2026 17:20:31
49.01,Utilities,Necessary,Evening,Wednesday,29,7/15/2026 17:21:03
6.48,Eating Out,Impulse,Evening,Wednesday,29,7/15/2026 17:21:13
12.61,Utilities,Necessary,Evening,Wednesday,29,7/15/2026 17:21:40
14.63,Projects,Necessary,Evening,Wednesday,29,7/15/2026 17:21:55
1.39,Eating Out,Impulse,Evening,Wednesday,29,7/15/2026 17:22:16
1.99,Eating Out,Impulse,Evening,Wednesday,29,7/15/2026 17:22:29
6.22,Eating Out,Impulse,Late Night,Thursday,29,7/16/2026 22:02:27
29.64,Cooking/Groceries,Impulse,Late Night,Thursday,29,7/16/2026 22:02:55
28,Beauty/Grooming,Necessary,Late Night,Thursday,29,7/16/2026 22:03:15
230.79,Projects,Necessary,Late Night,Thursday,29,7/16/2026 22:03:41
30.25,Transportation,Necessary,Late Night,Thursday,29,7/16/2026 22:04:00
4.12,Cooking/Groceries,Necessary,Late Night,Thursday,29,7/16/2026 22:04:44
50,Projects,Necessary,Late Night,Thursday,29,7/16/2026 22:24:52
4.12,Eating Out,Impulse,Morning,Friday,29,7/17/2026 8:54:26
200,Cooking/Groceries,Necessary,Morning,Thursday,30,7/23/2026 8:05:33
300,Other,Necessary,Morning,Thursday,30,7/23/2026 8:05:58
2.49,Eating Out,Impulse,Morning,Thursday,30,7/23/2026 8:06:10
12.58,Eating Out,Impulse,Morning,Friday,30,7/24/2026 9:07:13
31.02,Transportation,Necessary,Morning,Friday,30,7/24/2026 9:07:23
10.95,Clothing,Necessary,Afternoon,Friday,30,7/24/2026 12:45:34
19.24,Beauty/Grooming,Necessary,Evening,Friday,30,7/24/2026 20:49:27
45.95,Eating Out,Social,Late Night,Friday,30,7/24/2026 22:06:12
40.92,Eating Out,Social,Afternoon,Saturday,30,7/25/2026 16:13:52
34.04,Eating Out,Social,Afternoon,Sunday,31,7/26/2026 12:07:28
39.39,Eating Out,Social,Late Night,Sunday,31,7/26/2026 22:23:14
13.93,Eating Out,Necessary,Late Night,Sunday,31,7/26/2026 22:23:27
66.63,Projects,Necessary,Late Night,Sunday,31,7/26/2026 22:23:50
35,Transportation,Necessary,Late Night,Sunday,31,7/26/2026 22:24:00
6.71,Transportation,Necessary,Late Night,Sunday,31,7/26/2026 22:24:11
23.33,Cooking/Groceries,Necessary,Late Night,Sunday,31,7/26/2026 22:24:22
142.9,Cooking/Groceries,Necessary,Late Night,Monday,31,7/27/2026 22:08:33
16.18,Eating Out,Social,Morning,Wednesday,31,7/29/2026 8:17:44
8.83,Eating Out,Impulse,Evening,Wednesday,31,7/29/2026 19:28:56
6.99,Eating Out,Social,Evening,Wednesday,31,7/29/2026 19:29:20
2.39,Eating Out,Impulse,Evening,Wednesday,31,7/29/2026 19:29:35
14.88,Cooking/Groceries,Social,Evening,Wednesday,31,7/29/2026 19:29:57
29.46,Eating Out,Impulse,Evening,Wednesday,31,7/29/2026 19:30:17
2.49,Eating Out,Impulse,Afternoon,Friday,31,7/31/2026 12:07:35
104.39,Eating Out,Social,Afternoon,Friday,31,7/31/2026 12:07:49
16.19,Eating Out,Social,Afternoon,Friday,31,7/31/2026 12:08:18
16.19,Eating Out,Necessary,Evening,Friday,31,7/31/2026 21:59:56
